iter	RMSE
483	67032.31344
484	67023.06732
485	67015.92038
486	66978.50646
487	66971.30683
488	66966.01708
489	66955.9076
490	66947.96716
491	66942.4739
492	66936.69099
493	66930.85613
494	66925.18487
495	66915.0273
496	66905.93323
497	66899.438
498	66887.29079
499	66875.10493
500	66869.48048
501	66859.17007
502	66854.94929
503	66848.52034
504	66842.13343
505	66834.5456
506	66829.65038
507	66822.70114
508	66814.75134
509	66808.77594
510	66803.88272
511	66798.4058
512	66786.51051
513	66775.51455
514	66766.86542
515	66756.72707
516	66748.34889
517	66740.29825
518	66709.92333
519	66700.09789
520	66684.54673
521	66669.48959
522	66657.82216
523	66653.53415
524	66644.07353
525	66639.16445
526	66634.5664
527	66620.38393
528	66615.45455
529	66611.65464
530	66606.81834
531	66601.61052
532	66591.5357
533	66587.69294
534	66581.84813
535	66574.02936
536	66556.8877
537	66552.47212
538	66545.18003
539	66539.66124
540	66536.04584
541	66532.04491
542	66523.20719
543	66506.97132
544	66487.49322
545	66482.92654
546	66473.33277
547	66440.13177
548	66434.86117
549	66428.26681
550	66417.4573
551	66413.65747
552	66410.01893
553	66404.33523
554	66392.70885
555	66388.93218
556	66382.86376
557	66379.82108
558	66373.63692
559	66359.39674
560	66353.31979
561	66347.28212
562	66341.48953
563	66332.21694
564	66317.90627
565	66311.72341
566	66309.20507
567	66306.44162
568	66300.82014
569	66297.08981
570	66288.1794
571	66277.21042
572	66274.00874
573	66267.68201
574	66260.43438
575	66256.53452
576	66252.72497
577	66246.31149
578	66238.72469
579	66234.85637
580	66227.83485
581	66221.40615
582	66216.11198
583	66208.91157
584	66202.4294
585	66199.09619
586	66194.63918
587	66188.48926
588	66184.38946
589	66179.53774
590	66177.01849
591	66170.03519
592	66163.99691
593	66157.141
594	66151.20265
595	66133.7763
596	66125.73315
597	66118.71514
598	66116.22374
599	66108.18872
600	66103.35084
601	66098.46104
602	66094.76177
603	66086.68403
604	66078.49522
605	66073.89173
606	66067.41862
607	66060.76553
608	66055.24248
609	66050.27373
610	66023.22507
611	66014.39462
612	66009.22265
613	66004.13242
614	66001.67687
615	65991.03512
616	65985.20209
617	65974.13445
618	65968.89669
619	65959.78376
620	65954.6364
621	65946.05682
622	65938.69598
623	65935.22346
624	65932.15417
625	65928.15228
626	65916.25005
627	65910.99341
628	65908.6043
629	65905.01205
630	65897.98486
631	65896.16097
632	65844.56204
633	65841.03226
634	65836.79026
635	65830.21167
636	65827.64874
637	65820.9884
638	65808.79244
639	65796.49831
640	65790.1889
641	65785.35491
642	65778.8401
643	65773.2783
644	65768.35493
645	65765.83181
646	65754.20283
647	65747.90576
648	65740.64497
649	65735.1264
650	65732.07467
651	65726.84701
652	65722.58539
653	65718.81859
654	65710.71656
655	65706.39184
656	65699.30705
657	65695.73651
658	65689.83808
659	65683.91592
660	65678.26245
661	65672.01293
662	65665.25422
663	65654.38365
664	65648.78794
665	65642.85172
666	65638.53176
667	65634.94251
668	65629.26035
669	65625.677
670	65623.05842
671	65619.73923
672	65617.9163
673	65611.4614
674	65608.49781
675	65607.33236
676	65594.32696
677	65590.29129
678	65587.83054
679	65583.95334
680	65578.47618
681	65572.97005
682	65566.51541
683	65561.32443
684	65556.09507
685	65549.52563
686	65545.64828
687	65541.58613
688	65537.94073
689	65532.18999
690	65525.89879
691	65517.93639
692	65512.10275
693	65500.16968
694	65496.71714
695	65488.34745
696	65484.6854
697	65480.86201
698	65474.49431
699	65470.19776
700	65466.1549
701	65464.06062
702	65457.52328
703	65452.15271
704	65447.26859
705	65445.9502
706	65436.42999
707	65432.38634
708	65427.71508
709	65421.36256
710	65418.61868
711	65415.21891
712	65409.88908
713	65404.63266
714	65400.2332
715	65397.52611
716	65393.89577
717	65389.46997
718	65379.95828
719	65377.70418
720	65375.06319
721	65364.21532
722	65358.88555
723	65350.99235
724	65348.06242
725	65344.10305
726	65333.05058
727	65328.12504
728	65324.05223
729	65319.25193
730	65317.15033
731	65314.77655
732	65309.04281
733	65306.39416
734	65296.5466
735	65292.12567
736	65289.10624
737	65285.81933
738	65280.36418
739	65269.21196
740	65265.25612
741	65257.19531
742	65254.67664
743	65244.97571
744	65241.29331
745	65238.37237
746	65232.78853
747	65223.5469
748	65210.6528
749	65205.14098
750	65199.97449
751	65196.69833
752	65192.33913
753	65179.13825
754	65175.31923
755	65169.66066
756	65168.78505
757	65166.56696
758	65163.84841
759	65160.21879
760	65155.71672
761	65151.68406
762	65148.27373
763	65142.79574
764	65138.12892
765	65133.01063
766	65127.11588
767	65120.57608
768	65108.57319
769	65102.06461
770	65095.81986
771	65092.11336
772	65088.84494
773	65086.67677
774	65082.03708
775	65076.74881
776	65072.26962
777	65065.8942
778	65058.18929
779	65056.32966
780	65051.48328
781	65044.20915
782	65036.55855
783	65031.93951
784	65005.17411
785	64999.92293
786	64996.00658
787	64993.72566
788	64989.49294
789	64985.87901
790	64981.58747
791	64975.94075
792	64973.13383
793	64968.6512
794	64965.92722
795	64939.70449
796	64936.3491
797	64931.98362
798	64930.06099
799	64924.83419
800	64921.07546
801	64868.35348
802	64867.29454
803	64857.47129
804	64849.73262
805	64844.79707
806	64840.89542
807	64836.13477
808	64834.99777
809	64833.47375
810	64827.32575
811	64825.90975
812	64824.28682
813	64821.11216
814	64819.21359
815	64814.88418
816	64811.70621
817	64807.41203
818	64804.58308
819	64799.48684
820	64796.27772
821	64791.54979
822	64785.47226
823	64777.22975
824	64774.23377
825	64772.07112
826	64765.46617
827	64760.28137
828	64755.95816
829	64752.01278
830	64747.6386
831	64739.84821
832	64734.76803
833	64727.58286
834	64722.49175
835	64711.16798
836	64682.90456
837	64677.7625
838	64675.62064
839	64672.63601
840	64669.69775
841	64667.17747
842	64648.62093
843	64644.42933
844	64640.1333
845	64630.80779
846	64624.76088
847	64620.67047
848	64616.13368
849	64613.13329
850	64611.32154
851	64608.86867
852	64604.29742
853	64601.30014
854	64595.64129
855	64588.99119
856	64576.93925
857	64574.52253
858	64572.12796
859	64555.07825
860	64553.04473
861	64549.43157
862	64543.21512
863	64541.14976
864	64532.72022
865	64528.93648
866	64524.56697
867	64522.45573
868	64517.75467
869	64510.75435
870	64509.11093
871	64499.3693
872	64496.09796
873	64490.96352
874	64488.75469
875	64475.41859
876	64473.119
877	64470.98399
878	64465.40591
879	64463.09155
880	64455.9975
881	64453.36573
882	64451.08987
883	64440.96221
884	64435.81978
885	64432.15863
886	64427.09308
887	64424.84135
888	64420.15193
889	64415.24734
890	64413.18501
891	64407.09574
892	64405.54967
893	64381.54641
894	64377.04099
895	64375.14351
896	64367.7508
897	64363.36016
898	64360.89373
899	64358.09952
900	64354.57104
901	64345.94135
902	64342.98807
903	64339.12729
904	64336.68445
905	64332.34153
906	64329.82984
907	64326.09908
908	64315.58308
909	64312.10303
910	64309.86802
911	64307.38664
912	64302.873
913	64300.731
914	64295.84105
915	64294.29393
916	64291.63485
917	64289.17049
918	64285.32192
919	64281.53865
920	64275.46627
921	64271.72478
922	64268.65762
923	64265.35898
924	64264.06296
925	64256.58274
926	64253.22524
927	64250.58186
928	64246.99522
929	64245.57371
930	64242.96134
931	64240.77246
932	64234.57419
933	64231.79401
934	64229.20408
935	64225.90491
936	64223.24286
937	64220.37347
938	64217.61188
939	64208.38051
940	64204.64927
941	64199.78345
942	64196.104
943	64189.1705
944	64185.69881
945	64179.05171
946	64172.88954
947	64168.76034
948	64161.00211
949	64153.60659
950	64150.73604
951	64149.47669
952	64146.43959
953	64143.22575
954	64139.29222
955	64135.50631
956	64132.65513
957	64126.72812
958	64122.96109
959	64118.71485
960	64113.68066
961	64106.68694
962	64101.43048
963	64095.17637
964	64092.19813
965	64087.86648
966	64083.08297
967	64077.87514
968	64072.0441
969	64069.38778
970	64066.91237
971	64063.2606
972	64056.92702
973	64034.33928
974	64026.60207
975	64023.79561
976	64017.51119
977	64012.34932
978	64009.00297
979	64003.73779
980	64000.0081
981	63994.50812
982	63991.19222
983	63984.59245
984	63982.18204
985	63978.10263
986	63974.92587
987	63957.27163
988	63954.85871
989	63930.38451
990	63926.62184
991	63922.26422
992	63920.25382
993	63914.39933
994	63913.11136
995	63910.1149
996	63908.48959
997	63905.74302
998	63900.59955
999	63897.73684
